JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
LAKI-LAKI;18;BANDUNG;8000000;PETANI;SMA/Sederajat;S1;1000000;800000;TIDAK
LAKI-LAKI;20;JAWA TIMUR;8000000;PNS;S1;DIPLOMA;1000000;800000;TIDAK
LAKI-LAKI;18;SURABAYA;10000000;PNS;S1;S2;600000;500000;TIDAK
PEREMPUAN;18;JAKARTA;10000000;TNI/POLRI;S1;SMA/Sederajat;1500000;1500000;YA
PEREMPUAN;18;JOMBANG;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1200000;1000000;TIDAK
PEREMPUAN;18;TANGERANG;10000000;PNS;S2;S1;750000;600000;TIDAK
LAKI-LAKI;18;JAMBI;8000000;KARYAWAN SWASTA;SMA/Sederajat;S1;1000000;500000;TIDAK
LAKI-LAKI;18;PALOPO;10000000;PNS;S1;S1;1200000;1200000;YA
PEREMPUAN;18;BOGOR;8000000;PENSIUNAN;S1;S1;1500000;1500000;TIDAK
LAKI-LAKI;18;BOGOR;6000000;PNS;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;18;DKI JAKARTA;2400000;WIRASWASTA;SMA/Sederajat;SD;500000;500000;YA
PEREMPUAN;18;WONOSOBO;6000000;PEGAWAI BUMN;S1;S1;750000;750000;TIDAK
LAKI-LAKI;18;BONTANG;10000000;PEGAWAI BUMN;DIPLOMA;S1;2000000;500000;YA
LAKI-LAKI;18;SOLO;10000000;KARYAWAN SWASTA;S1;SMA/Sederajat;1000000;800000;YA
PEREMPUAN;18;MEDAN;0;WIRASWASTA;S1;SMA/Sederajat;0;400000;YA
PEREMPUAN;18;KEDIRI;0;WIRASWASTA;SD;SMP;700000;700000;YA
LAKI-LAKI;18;JOMBANG;2400000;WIRASWASTA;SD;SMP;800000;700000;YA
LAKI-LAKI;18;GARUT;2400000;SUPIR;SD;SMP;400000;350000;YA
PEREMPUAN;18;BUKIT TINGGI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;600000;500000;YA
LAKI-LAKI;18;BOGOR;6000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;600000;300000;TIDAK
PEREMPUAN;18;BOJONEGORO;10000000;PNS;S1;S1;1000000;1000000;TIDAK
PEREMPUAN;18;LAMPUNG;11000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;YA
PEREMPUAN;18;JAKARTA;6000000;PNS;SMA/Sederajat;SMP;1000000;930000;TIDAK
PEREMPUAN;19;MEDAN;2400000;WIRASWASTA;SD;SMA/Sederajat;400000;400000;YA
LAKI-LAKI;18;JAKARTA;6000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1300000;TIDAK
PEREMPUAN;18;CIREBON;6000000;WIRASWASTA;SMA/Sederajat;S1;800000;800000;YA
PEREMPUAN;18;BUKIT TINGGI;2400000;BURUH;SD;SD;600000;600000;TIDAK
LAKI-LAKI;19;CILACAP;1200000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;18;PURWOREJO;0;BURUH;SMA/Sederajat;SMP;500000;600000;YA
PEREMPUAN;18;PADANG;6000000;PETANI;SMA/Sederajat;DIPLOMA;1000000;1000000;TIDAK
LAKI-LAKI;17;BOGOR;6000000;WIRASWASTA;S2;S1;800000;800000;TIDAK
LAKI-LAKI;18;JAKARTA;10000000;TNI/POLRI;S2;SMA/Sederajat;2000000;1500000;TIDAK
PEREMPUAN;18;JAKARTA;10000000;KARYAWAN SWASTA;DIPLOMA;DIPLOMA;1000000;800000;TIDAK
PEREMPUAN;18;MADIUN;6000000;PNS;S1;SMA/Sederajat;1000000;900000;TIDAK
LAKI-LAKI;18;BOGOR;10000000;KARYAWAN SWASTA;S1;DIPLOMA;1200000;1000000;TIDAK
PEREMPUAN;18;BOJONEGORO;2400000;WIRASWASTA;SMP;SD;800000;800000;TIDAK
LAKI-LAKI;18;PEKALONGAN;10000000;PNS;S1;S1;1000000;750000;TIDAK
LAKI-LAKI;18;PEMALANG;0;WIRASWASTA;SMP;SD;1000000;1000000;YA
PEREMPUAN;18;BANDUNG;8000000;KARYAWAN SWASTA;DIPLOMA;DIPLOMA;1000000;1000000;TIDAK
LAKI-LAKI;18;BOGOR;6000000;WIRASWASTA;S1;S1;500000;400000;TIDAK
PEREMPUAN;18;PURWOREJO;0;WIRASWASTA;SMA/Sederajat;SMP;300000;600000;YA
PEREMPUAN;18;BOGOR;10000000;TNI/POLRI;SMA/Sederajat;S1;1000000;800000;TIDAK
PEREMPUAN;18;SUBANG;6000000;KARYAWAN SWASTA;S1;SMA/Sederajat;750000;700000;TIDAK
LAKI-LAKI;18;BANDUNG;6000000;DOSEN;S2;S1;1500000;1000000;TIDAK
PEREMPUAN;17;PURWAKARTA;10000000;PENSIUNAN;DIPLOMA;DIPLOMA;1500000;800000;TIDAK
